date,total_daily_profit,number_of_bets,number_of_wins,number_of_losses,daily_profit,daily_losses,total_cash
2005-01-01,20.5,7,4,3,170.5,-150.0,1020.5
2005-01-02,6.0,1,1,0,6.0,0.0,1026.5
2005-01-03,284.5,12,8,4,484.5,-200.0,1311.0
2005-01-04,0.0,0,0,0,0.0,0.0,1311.0
2005-01-05,0.0,0,0,0,0.0,0.0,1311.0
2005-01-06,40.0,1,1,0,40.0,0.0,1351.0
2005-01-07,0.0,0,0,0,0.0,0.0,1351.0
2005-01-08,-197.5,10,4,6,102.5,-300.0,1153.5
2005-01-09,-30.5,6,2,4,169.5,-200.0,1123.0
2005-01-10,0.0,0,0,0,0.0,0.0,1123.0
2005-01-11,122.5,3,3,0,122.5,0.0,1245.5
2005-01-12,-31.5,5,3,2,68.5,-100.0,1214.0
2005-01-13,0.0,0,0,0,0.0,0.0,1214.0
2005-01-14,87.5,1,1,0,87.5,0.0,1301.5
2005-01-15,-461.5,16,3,13,188.5,-650.0,840.0
2005-01-16,103.5,11,6,5,353.5,-250.0,943.5
2005-01-17,0.0,0,0,0,0.0,0.0,943.5
2005-01-18,25.0,1,1,0,25.0,0.0,968.5
2005-01-19,73.5,3,3,0,73.5,0.0,1042.0
2005-01-20,0.0,0,0,0,0.0,0.0,1042.0
2005-01-21,45.0,4,3,1,95.0,-50.0,1087.0
2005-01-22,-233.0,17,5,12,367.0,-600.0,854.0
2005-01-23,-170.5,11,4,7,179.5,-350.0,683.5
2005-01-24,0.0,0,0,0,0.0,0.0,683.5
2005-01-25,0.0,0,0,0,0.0,0.0,683.5
2005-01-26,-21.0,2,1,1,29.0,-50.0,662.5
2005-01-27,-7.5,2,1,1,42.5,-50.0,655.0
2005-01-28,37.5,1,1,0,37.5,0.0,692.5
2005-01-29,-6.5,12,6,6,293.5,-300.0,686.0
2005-01-30,-56.5,10,5,5,193.5,-250.0,629.5
2005-01-31,0.0,0,0,0,0.0,0.0,629.5
2005-02-01,125.0,1,1,0,125.0,0.0,754.5
2005-02-02,-28.0,3,2,1,22.0,-50.0,726.5
2005-02-03,-140.0,5,1,4,60.0,-200.0,586.5
2005-02-04,-20.0,2,1,1,30.0,-50.0,566.5
2005-02-05,-45.0,11,6,5,205.0,-250.0,521.5
2005-02-06,377.0,5,5,0,377.0,0.0,898.5
2005-02-07,64.5,1,1,0,64.5,0.0,963.0
2005-02-08,-50.0,1,0,1,0.0,-50.0,913.0
2005-02-09,152.5,6,5,1,202.5,-50.0,1065.5
2005-02-10,0.0,0,0,0,0.0,0.0,1065.5
2005-02-11,-200.0,4,0,4,0.0,-200.0,865.5
2005-02-12,-205.0,16,7,9,245.0,-450.0,660.5
2005-02-13,-135.5,20,7,13,514.5,-650.0,525.0
2005-02-14,0.0,0,0,0,0.0,0.0,525.0
2005-02-15,-43.5,3,1,2,56.5,-100.0,481.5
2005-02-16,-100.0,2,0,2,0.0,-100.0,381.5
2005-02-17,-50.0,1,0,1,0.0,-50.0,331.5
2005-02-18,-19.5,2,1,1,30.5,-50.0,312.0
2005-02-19,176.5,16,11,5,426.5,-250.0,488.5
2005-02-20,-40.0,15,7,8,360.0,-400.0,448.5
2005-02-21,0.0,0,0,0,0.0,0.0,448.5
2005-02-22,-6.5,4,2,2,93.5,-100.0,442.0
2005-02-23,-50.0,1,0,1,0.0,-50.0,392.0
2005-02-24,96.5,5,4,1,146.5,-50.0,488.5
2005-02-25,-95.0,4,1,3,55.0,-150.0,393.5
2005-02-26,-87.5,23,11,12,512.5,-600.0,306.0
2005-02-27,-102.5,12,5,7,247.5,-350.0,203.5
2005-02-28,12.5,1,1,0,12.5,0.0,216.0
2005-03-01,39.0,3,2,1,89.0,-50.0,255.0
2005-03-02,-26.5,2,1,1,23.5,-50.0,228.5
2005-03-03,0.0,0,0,0,0.0,0.0,228.5
2005-03-04,-150.0,3,0,3,0.0,-150.0,78.5
2005-03-05,-258.0,15,5,10,242.0,-500.0,-179.5
2005-03-06,-138.0,14,7,7,212.0,-350.0,-317.5
2005-03-07,82.5,1,1,0,82.5,0.0,-235.0
2005-03-08,-13.5,2,1,1,36.5,-50.0,-248.5
2005-03-09,20.5,3,2,1,70.5,-50.0,-228.0
2005-03-10,0.0,0,0,0,0.0,0.0,-228.0
2005-03-11,-57.5,5,2,3,92.5,-150.0,-285.5
2005-03-12,42.5,23,12,11,592.5,-550.0,-243.0
2005-03-13,11.5,12,6,6,311.5,-300.0,-231.5
2005-03-14,144.0,2,2,0,144.0,0.0,-87.5
2005-03-15,-45.0,3,1,2,55.0,-100.0,-132.5
2005-03-16,-35.0,7,2,5,215.0,-250.0,-167.5
2005-03-17,-22.5,2,1,1,27.5,-50.0,-190.0
2005-03-18,176.5,9,6,3,326.5,-150.0,-13.5
2005-03-19,435.5,20,16,4,635.5,-200.0,422.0
2005-03-20,138.0,12,7,5,388.0,-250.0,560.0
2005-03-21,0.0,0,0,0,0.0,0.0,560.0
2005-03-22,0.0,0,0,0,0.0,0.0,560.0
2005-03-23,-200.0,4,0,4,0.0,-200.0,360.0
2005-03-24,-144.5,4,1,3,5.5,-150.0,215.5
2005-03-25,-21.5,9,4,5,228.5,-250.0,194.0
2005-03-26,-214.0,12,5,7,136.0,-350.0,-20.0
2005-03-27,-50.0,1,0,1,0.0,-50.0,-70.0
2005-03-28,35.5,9,5,4,235.5,-200.0,-34.5
2005-03-29,20.0,2,1,1,70.0,-50.0,-14.5
2005-03-30,-59.0,7,4,3,91.0,-150.0,-73.5
2005-03-31,0.0,0,0,0,0.0,0.0,-73.5
2005-04-01,25.0,3,2,1,75.0,-50.0,-48.5
2005-04-02,-243.5,21,9,12,356.5,-600.0,-292.0
2005-04-03,256.0,6,5,1,306.0,-50.0,-36.0
2005-04-04,139.5,2,2,0,139.5,0.0,103.5
2005-04-05,115.5,1,1,0,115.5,0.0,219.0
2005-04-06,165.0,6,4,2,265.0,-100.0,384.0
2005-04-07,0.0,0,0,0,0.0,0.0,384.0
2005-04-08,66.5,3,2,1,116.5,-50.0,450.5
2005-04-09,-130.0,22,9,13,520.0,-650.0,320.5
2005-04-10,347.5,22,14,8,747.5,-400.0,668.0
2005-04-11,-50.0,1,0,1,0.0,-50.0,618.0
2005-04-12,-25.0,2,1,1,25.0,-50.0,593.0
2005-04-13,132.5,7,3,4,332.5,-200.0,725.5
2005-04-14,-50.0,1,0,1,0.0,-50.0,675.5
2005-04-15,-78.5,6,3,3,71.5,-150.0,597.0
2005-04-16,-401.5,23,8,15,348.5,-750.0,195.5
2005-04-17,-77.0,19,9,10,423.0,-500.0,118.5
2005-04-18,0.0,0,0,0,0.0,0.0,118.5
2005-04-19,0.0,0,0,0,0.0,0.0,118.5
2005-04-20,267.0,12,6,6,567.0,-300.0,385.5
2005-04-21,-150.0,3,0,3,0.0,-150.0,235.5
2005-04-22,70.0,3,2,1,120.0,-50.0,305.5
2005-04-23,-226.0,35,14,21,824.0,-1050.0,79.5
2005-04-24,312.0,23,13,10,812.0,-500.0,391.5
2005-04-25,-100.0,2,0,2,0.0,-100.0,291.5
2005-04-26,22.0,1,1,0,22.0,0.0,313.5
2005-04-27,-112.5,7,2,5,137.5,-250.0,201.0
2005-04-28,-122.5,4,1,3,27.5,-150.0,78.5
2005-04-29,95.0,5,2,3,245.0,-150.0,173.5
2005-04-30,90.0,26,14,12,690.0,-600.0,263.5
2005-05-01,-53.5,13,6,7,296.5,-350.0,210.0
2005-05-02,0.0,0,0,0,0.0,0.0,210.0
