date,total_daily_profit,number_of_bets,number_of_wins,number_of_losses,daily_profit,daily_losses,total_cash
2005-01-01,37.0,1,1,0,37.0,0.0,1037.0
2005-01-02,0.0,0,0,0,0.0,0.0,1037.0
2005-01-03,35.0,2,1,1,85.0,-50.0,1072.0
2005-01-04,0.0,0,0,0,0.0,0.0,1072.0
2005-01-05,166.5,1,1,0,166.5,0.0,1238.5
2005-01-06,-50.0,1,0,1,0.0,-50.0,1188.5
2005-01-07,-100.0,2,0,2,0.0,-100.0,1088.5
2005-01-08,-50.0,1,0,1,0.0,-50.0,1038.5
2005-01-09,-37.5,2,1,1,12.5,-50.0,1001.0
2005-01-10,0.0,0,0,0,0.0,0.0,1001.0
2005-01-11,55.0,1,1,0,55.0,0.0,1056.0
2005-01-12,-20.0,2,1,1,30.0,-50.0,1036.0
2005-01-13,0.0,0,0,0,0.0,0.0,1036.0
2005-01-14,-50.0,1,0,1,0.0,-50.0,986.0
2005-01-15,40.0,1,1,0,40.0,0.0,1026.0
2005-01-16,-60.0,3,1,2,40.0,-100.0,966.0
2005-01-17,-25.0,2,1,1,25.0,-50.0,941.0
2005-01-18,-50.0,1,0,1,0.0,-50.0,891.0
2005-01-19,0.0,0,0,0,0.0,0.0,891.0
2005-01-20,0.0,0,0,0,0.0,0.0,891.0
2005-01-21,0.0,0,0,0,0.0,0.0,891.0
2005-01-22,-51.0,5,2,3,99.0,-150.0,840.0
2005-01-23,253.0,5,3,2,353.0,-100.0,1093.0
2005-01-24,-50.0,1,0,1,0.0,-50.0,1043.0
2005-01-25,70.5,1,1,0,70.5,0.0,1113.5
2005-01-26,-69.5,3,1,2,30.5,-100.0,1044.0
2005-01-27,0.0,0,0,0,0.0,0.0,1044.0
2005-01-28,0.0,0,0,0,0.0,0.0,1044.0
2005-01-29,-63.5,3,1,2,36.5,-100.0,980.5
2005-01-30,-67.5,3,1,2,32.5,-100.0,913.0
2005-01-31,0.0,0,0,0,0.0,0.0,913.0
2005-02-01,0.0,0,0,0,0.0,0.0,913.0
2005-02-02,50.0,1,1,0,50.0,0.0,963.0
2005-02-03,0.0,0,0,0,0.0,0.0,963.0
2005-02-04,0.0,0,0,0,0.0,0.0,963.0
2005-02-05,47.5,2,1,1,97.5,-50.0,1010.5
2005-02-06,-50.0,1,0,1,0.0,-50.0,960.5
2005-02-07,0.0,0,0,0,0.0,0.0,960.5
2005-02-08,0.0,0,0,0,0.0,0.0,960.5
2005-02-09,-50.0,1,0,1,0.0,-50.0,910.5
2005-02-10,0.0,0,0,0,0.0,0.0,910.5
2005-02-11,0.0,0,0,0,0.0,0.0,910.5
2005-02-12,-137.5,5,1,4,62.5,-200.0,773.0
2005-02-13,55.0,5,2,3,205.0,-150.0,828.0
2005-02-14,0.0,0,0,0,0.0,0.0,828.0
2005-02-15,-50.0,1,0,1,0.0,-50.0,778.0
2005-02-16,0.0,0,0,0,0.0,0.0,778.0
2005-02-17,0.0,0,0,0,0.0,0.0,778.0
2005-02-18,0.0,0,0,0,0.0,0.0,778.0
2005-02-19,-300.0,6,0,6,0.0,-300.0,478.0
2005-02-20,-50.0,1,0,1,0.0,-50.0,428.0
2005-02-21,0.0,0,0,0,0.0,0.0,428.0
2005-02-22,90.0,1,1,0,90.0,0.0,518.0
2005-02-23,0.0,0,0,0,0.0,0.0,518.0
2005-02-24,-50.0,1,0,1,0.0,-50.0,468.0
2005-02-25,17.5,1,1,0,17.5,0.0,485.5
2005-02-26,-100.0,2,0,2,0.0,-100.0,385.5
2005-02-27,41.0,4,2,2,141.0,-100.0,426.5
2005-02-28,0.0,0,0,0,0.0,0.0,426.5
2005-03-01,114.5,1,1,0,114.5,0.0,541.0
2005-03-02,79.5,1,1,0,79.5,0.0,620.5
2005-03-03,0.0,0,0,0,0.0,0.0,620.5
2005-03-04,123.0,1,1,0,123.0,0.0,743.5
2005-03-05,-8.0,6,3,3,142.0,-150.0,735.5
2005-03-06,-200.0,4,0,4,0.0,-200.0,535.5
2005-03-07,0.0,0,0,0,0.0,0.0,535.5
2005-03-08,13.5,2,1,1,63.5,-50.0,549.0
2005-03-09,-100.0,2,0,2,0.0,-100.0,449.0
2005-03-10,0.0,0,0,0,0.0,0.0,449.0
2005-03-11,-50.0,1,0,1,0.0,-50.0,399.0
2005-03-12,-240.0,7,1,6,60.0,-300.0,159.0
2005-03-13,285.5,9,6,3,435.5,-150.0,444.5
2005-03-14,0.0,0,0,0,0.0,0.0,444.5
2005-03-15,101.5,1,1,0,101.5,0.0,546.0
2005-03-16,0.0,0,0,0,0.0,0.0,546.0
2005-03-17,0.0,0,0,0,0.0,0.0,546.0
2005-03-18,0.0,0,0,0,0.0,0.0,546.0
2005-03-19,-68.5,7,2,5,181.5,-250.0,477.5
2005-03-20,-114.0,5,1,4,86.0,-200.0,363.5
2005-03-21,0.0,0,0,0,0.0,0.0,363.5
2005-03-22,-50.0,1,0,1,0.0,-50.0,313.5
2005-03-23,45.0,2,1,1,95.0,-50.0,358.5
2005-03-24,75.0,1,1,0,75.0,0.0,433.5
2005-03-25,85.0,2,2,0,85.0,0.0,518.5
2005-03-26,143.5,6,5,1,193.5,-50.0,662.0
2005-03-27,0.0,3,1,2,100.0,-100.0,662.0
2005-03-28,-100.0,2,0,2,0.0,-100.0,562.0
2005-03-29,0.0,0,0,0,0.0,0.0,562.0
2005-03-30,47.5,3,2,1,97.5,-50.0,609.5
2005-03-31,0.0,0,0,0,0.0,0.0,609.5
2005-04-01,-50.0,1,0,1,0.0,-50.0,559.5
2005-04-02,199.0,9,4,5,449.0,-250.0,758.5
2005-04-03,90.0,2,1,1,140.0,-50.0,848.5
2005-04-04,0.0,0,0,0,0.0,0.0,848.5
2005-04-05,-50.0,1,0,1,0.0,-50.0,798.5
2005-04-06,-83.5,4,1,3,66.5,-150.0,715.0
2005-04-07,14.5,1,1,0,14.5,0.0,729.5
2005-04-08,0.0,0,0,0,0.0,0.0,729.5
2005-04-09,-90.0,5,1,4,110.0,-200.0,639.5
2005-04-10,382.5,6,4,2,482.5,-100.0,1022.0
2005-04-11,-50.0,1,0,1,0.0,-50.0,972.0
2005-04-12,0.0,0,0,0,0.0,0.0,972.0
2005-04-13,-50.0,1,0,1,0.0,-50.0,922.0
2005-04-14,0.0,0,0,0,0.0,0.0,922.0
2005-04-15,-15.0,2,1,1,35.0,-50.0,907.0
2005-04-16,252.5,8,6,2,352.5,-100.0,1159.5
2005-04-17,-32.5,3,1,2,67.5,-100.0,1127.0
2005-04-18,0.0,0,0,0,0.0,0.0,1127.0
2005-04-19,-200.0,4,0,4,0.0,-200.0,927.0
2005-04-20,-100.0,2,0,2,0.0,-100.0,827.0
2005-04-21,-100.0,2,0,2,0.0,-100.0,727.0
2005-04-22,50.0,2,1,1,100.0,-50.0,777.0
2005-04-23,-175.0,5,1,4,25.0,-200.0,602.0
2005-04-24,-90.0,6,2,4,110.0,-200.0,512.0
